Mediator,Sample,a,se_a,b,se_b,N_a,N_b,G_a,G_b,Indirect,Sobel_SE,Sobel_z,Sobel_p,Joint_cov,Joint_SE,Joint_z,Joint_p,Joint_se_a,Joint_se_b
Green,path_specific,0.3939545574082204,0.5983135318273016,-0.0074059125990766,0.0034880164376595,16968,16661,94,94,-0.0029175930201732,0.0046392325062192,-0.6288956236321382,0.5294173913623261,7.42753030623e-05,0.004589780490978,-0.6356715807887129,0.5249905033505176,0.5979960773125261,0.0034860269053089
Social,path_specific,0.0651505264929763,0.0277269468526429,-0.0410426571615287,0.008974427878135601,16876,16660,94,94,-0.0026739507227443,0.0012794047817224,-2.089995880072142,0.0366181697961548,1.20943881562e-05,0.0012531662893402,-2.133755707833578,0.0328627832974804,0.0277121552021896,0.008969308639988301
